barcode_id,nama_produk,image_url,status
8993200661305,Cimory Yogurt Drink Strawberry,"https://res-2.cloudinary.com/dk0z4ums3/image/upload/c_scale,h_500,w_500/v1/production/pharmacy/products/1721784295_cimory_straw",BERHASIL
8993200661312,Cimory Yogurt Drink Red Grape,https://img.lazcdn.com/g/p/97bbd5b9a8c7a27a44c734d6be4e712c.jpg_720x720q80.jpg,BERHASIL
8993200661336,Cimory Yogurt Drink Manggo,https://down-id.img.susercontent.com/file/sg-11134201-7rd74-lukgl0ocp1z460,BERHASIL
8993200661343,Cimory Yogurt Mango Sticky Rice,https://c.alfagift.id/product/1/1_A7741890002167_20240920102538122_base.jpg,BERHASIL
8993200661350,Cimory Yogurt Drink Mixed Fruit,https://cdn-klik.klikindomaret.com/klik-catalog/product/20023797_1.jpg,BERHASIL
8993200661657,Cimory Yogurt Drink Blueberry,https://cimory.com/uploads/products/Preview---Claim-Products-(Indonesia)-CYD-Reguler-250ml-01.jpg,BERHASIL
8993200663064,Cimory Yogurt Drink Original,https://cimory.com/uploads/products/brand_hero_JAknHh1701332836.png,BERHASIL
8993200664993,Cimory Yogurt Drink Low Fat Banana,https://www.static-src.com/wcsstore/Indraprastha/images/catalog/full//93/MTA-36517006/babay-farm_cimory_lowfat_yogurt_drink_full05_c2x7zrfd.jpg,BERHASIL
8993200665006,Cimory Yogurt Drink Low Fat Strawberry & Mango,https://www.static-src.com/wcsstore/Indraprastha/images/catalog/full//93/MTA-36517006/babay-farm_cimory_lowfat_yogurt_drink_full05_c2x7zrfd.jpg,BERHASIL
8993200665013,Cimory Yogurt Drink Low Fat Blueberry,https://cimory.com/uploads/products/Preview---Claim-Products-(Indonesia)-CYD-Reguler-250ml-01.jpg,BERHASIL
8993200666935,Cimory Yogurt Original,https://cimory.com/uploads/products/brand_hero_JAknHh1701332836.png,BERHASIL
8993200667406,Cimory Yogurt Peach,https://www.static-src.com/wcsstore/Indraprastha/images/catalog/full//100/MTA-81674533/cimory_yogurt-drink-cimory-squeeze-peach-120gr_full01.jpg,BERHASIL
8993200668335,Cimory Yogurt Brown Sugar,https://www.static-src.com/wcsstore/Indraprastha/images/catalog/full//catalog-image/98/MTA-131863480/cimory_yogurt_drink_cimory_squeze_brown_sugar_120ml_pouch_full01_p7rn2rhm.jpg,BERHASIL
8994504102327,Hello Panda Strawberry,https://img.lazcdn.com/g/p/53ceea826e180219832fc18d6b014e0c.jpg_960x960q80.jpg_.webp,BERHASIL
8996001300251,Energen Vanilla,https://tastysnack.id/cdn/shop/files/2_8bb95275-f41b-427d-92a9-24c14d85c62e_1000x1000.png?v=1707990128,BERHASIL
8996001300268,Energen Cereal,http://shopsuki.ph/cdn/shop/files/102052464_1024x.png?v=1705403463,BERHASIL
8996001300275,Energen Cokelat,http://shopsuki.ph/cdn/shop/files/102052464_1024x.png?v=1705403463,BERHASIL
8996001300282,Energen Hijau,https://ukhtiosaka.com/wp-content/uploads/2024/06/Energen-Kacang-Hijau1.webp,BERHASIL
8996001300299,Energen Jahe,https://www.static-src.com/wcsstore/Indraprastha/images/catalog/full/catalog-image/100/MTA-181163638/mayora_energen_rasa_jahe_-10x32g-_full01_47a86ee1.jpg,BERHASIL
8996001300305,Energen Jagung,https://down-id.img.susercontent.com/file/id-11134207-7qul8-lihg29l0dc6k61,BERHASIL
8996001300312,Energen Pandan,https://arti-assets.sgp1.cdn.digitaloceanspaces.com/renyswalayanku/products/47d1eec3-07e3-471c-8ae6-0132f1393d1e.jpg,BERHASIL
8996001300329,Energen Pisang,https://down-ph.img.susercontent.com/file/id-11134207-7r991-lqh4nzjvlmsy5b,BERHASIL
8996001300336,Energen Strawberry,https://down-id.img.susercontent.com/file/id-11134207-7ra0s-mb99vxlahhzz89_tn.webp,BERHASIL
8996001300343,Energen Jahe Instan,https://down-id.img.susercontent.com/file/6b4d3b3ed2dcd7eeb99a0daf097a86ea,BERHASIL
8996001300794,Energen Oat Milk,https://d2j6dbq0eux0bg.cloudfront.net/images/90909572/4084766613.jpg,BERHASIL
8996001300800,Energen Go Fruit,"https://static.wixstatic.com/media/e57616_ef9fb59a92714ad2bb4dc5c490d44b44.jpg/v1/fit/w_500,h_500,q_90/file.jpg",BERHASIL
8996001300817,Energen Go Fruit Strawberry,https://www.tokoindonesia.co.uk/wp-content/uploads/2019/05/energen-health-drink.jpg,BERHASIL
8996001301012,Energen Champion,https://down-my.img.susercontent.com/file/id-11134207-7ras8-m5ps4fiaa85v31,BERHASIL
8996001301036,Energen Kurma,https://kartasupermall.com/product/energen-kurma-pouch-cereal-drink-10-sachets-x-30g/2c63076b4397a42d7136c2861a136725.jpeg,BERHASIL
8996001301043,Energen Champion (isi 10),https://down-id.img.susercontent.com/file/id-11134207-7r98p-lw75g512qeuk3f,BERHASIL
8996001301050,Energen Champion (isi 5),https://img.mbizmarket.co.id/products/thumbs/800x800/2025/01/08/eb3b23a859af8b3253b1dd0244b87e53.jpg,BERHASIL
8996001301067,Energen Kurma (isi 10),https://down-id.img.susercontent.com/file/d68687ad2f18a96dbfc683276919341d,BERHASIL
8996001301074,Energen Kurma (isi 5),https://img.mbizmarket.co.id/products/thumbs/800x800/2025/01/08/eb3b23a859af8b3253b1dd0244b87e53.jpg,BERHASIL
8996001301081,Energen Cokelat (isi 10),http://shopsuki.ph/cdn/shop/files/102052464_1024x.png?v=1705403463,BERHASIL
8996001301098,Energen Cokelat (isi 5),http://shopsuki.ph/cdn/shop/files/102052464_1024x.png?v=1705403463,BERHASIL
8996001301104,Energen Vanilla (isi 10),https://deltadewataonline.com/wp-content/uploads/2022/05/18010805.jpg,BERHASIL
8996001301111,Energen Vanilla (isi 5),https://tastysnack.id/cdn/shop/files/2_8bb95275-f41b-427d-92a9-24c14d85c62e_1000x1000.png?v=1707990128,BERHASIL
8996001301128,Energen Kacang Hijau (isi 10),https://filebroker-cdn.lazada.co.id/kf/Sbeca77c0a2d2412a90d8dfc5c451a0baT.jpg,BERHASIL
8996001301135,Energen Kacang Hijau (isi 5),https://filebroker-cdn.lazada.co.id/kf/Sbeca77c0a2d2412a90d8dfc5c451a0baT.jpg,BERHASIL
8996001301142,Energen Jagung (isi 10),https://down-id.img.susercontent.com/file/f0065b3df207d056f78f6f0f67ec286b,BERHASIL
8996001301159,Energen Jagung (isi 5),https://down-id.img.susercontent.com/file/3d1299d0ce619bdc508cdd79a5bab0bd,BERHASIL
8996001301166,Energen Jahe (isi 10),"src=""https://id-test-11.slatic.net/p/52d88d135c089e0969c524b4c64d5b2d.jpg""",BERHASIL
8996001301173,Energen Jahe (isi 5),"src=""https://id-test-11.slatic.net/p/52d88d135c089e0969c524b4c64d5b2d.jpg""",BERHASIL
8996001301180,Energen Cereal (isi 10),https://down-id.img.susercontent.com/file/id-11134207-7r98p-lw75g512qeuk3f,BERHASIL
8996001301197,Energen Cereal (isi 5),https://down-id.img.susercontent.com/file/id-11134207-7r98p-lw75g512qeuk3f,BERHASIL
8996001301203,Energen Oat Milk (isi 10),http://shopsuki.ph/cdn/shop/files/102052464_1024x.png?v=1705403463,BERHASIL
8996001301210,Energen Oat Milk (isi 5),https://www.mayora.com/storage/files/2017-energen.png,BERHASIL
8996001301227,Energen Go Fruit (isi 10),"https://static.wixstatic.com/media/e57616_ef9fb59a92714ad2bb4dc5c490d44b44.jpg/v1/fit/w_500,h_500,q_90/file.jpg",BERHASIL
8996001301234,Energen Go Fruit (isi 5),https://www.mayora.com/storage/files/2017-energen.png,BERHASIL
8996001301241,Energen Go Fruit Strawberry (isi 10),https://down-id.img.susercontent.com/file/id-11134207-7r98p-lw75g512qeuk3f,BERHASIL
8996001301258,Energen Go Fruit Strawberry (isi 5),https://girlstraveler.wordpress.com/wp-content/uploads/2015/01/energen_go_fruit_strawberry_pouch_10x33g.jpg,BERHASIL
8996001301265,Energen Pandan (isi 10),https://www.static-src.com/wcsstore/Indraprastha/images/catalog/full/MTA-10783385/energen_energen_kacang_hijau_10_s_x_30_gr_full02_h1jqo03m.jpeg,BERHASIL
8996001301272,Energen Pandan (isi 5),https://www.mayora.com/storage/files/2017-energen.png,BERHASIL
8996001301289,Energen Pisang (isi 10),https://i.pinimg.com/originals/cd/4a/bb/cd4abbce01de0991be7b6cb84aa306be.jpg,BERHASIL
8996001301296,Energen Pisang (isi 5),https://www.mayora.com/storage/files/2017-energen.png,BERHASIL
8996001301302,Energen Strawberry (isi 10),https://down-id.img.susercontent.com/file/id-11134207-7ra0s-mb99vxlahhzz89_tn.webp,BERHASIL
8996001301319,Energen Strawberry (isi 5),https://down-id.img.susercontent.com/file/id-11134207-7ra0s-mb99vxlahhzz89_tn.webp,BERHASIL
8996001301326,Energen Jahe Instan (isi 10),https://down-id.img.susercontent.com/file/id-11134207-7r98p-lw75g512qeuk3f,BERHASIL
8996001301333,Energen Jahe Instan (isi 5),https://www.static-src.com/wcsstore/Indraprastha/images/catalog/full/MTA-10783384/energen_energen_jahe_10_s_x_29_gr-_full02_uwhgtsa2.jpeg,BERHASIL
8996001303726,Danisa Choco Cashew,https://down-my.img.susercontent.com/file/sg-11134201-7rff1-m3odiqzolmw768,BERHASIL
